datetime,value
2022-10-28 14:56:03,-534
2022-10-28 14:56:04,-508
2022-10-28 14:56:05,-417
2022-10-28 14:56:06,-305
2022-10-28 14:56:08,-433
2022-10-28 14:56:08,-384
2022-10-28 14:56:09,-282
2022-10-28 14:56:11,-346
2022-10-28 14:56:13,-279
2022-10-28 14:56:14,-270
2022-10-28 14:56:15,-294
2022-10-28 14:56:15,-147
2022-10-28 14:56:17,-201
2022-10-28 14:56:18,-254
2022-10-28 14:56:19,-270
2022-10-28 14:56:20,-318
2022-10-28 14:56:21,-215
2022-10-28 14:56:23,-297
2022-10-28 14:56:24,-244
2022-10-28 14:56:25,-315
2022-10-28 14:56:26,-541
2022-10-28 14:56:27,-514
2022-10-28 14:56:29,-437
2022-10-28 14:56:30,-135
2022-10-28 14:56:32,321
2022-10-28 14:56:32,-169
2022-10-28 14:56:34,-448
2022-10-28 14:56:35,-354
2022-10-28 14:56:36,-261
2022-10-28 14:56:37,306
2022-10-28 14:56:38,-163
2022-10-28 14:56:39,276
2022-10-28 14:56:40,318
2022-10-28 14:56:41,430
2022-10-28 14:56:42,239
2022-10-28 14:56:43,230
2022-10-28 14:56:44,104
2022-10-28 14:56:46,-224
2022-10-28 14:56:47,-254
2022-10-28 14:56:48,221
2022-10-28 14:56:49,392
2022-10-28 14:56:50,219
2022-10-28 14:56:52,-106
2022-10-28 14:56:53,121
2022-10-28 14:56:54,444
2022-10-28 14:56:55,382
2022-10-28 14:56:56,207
2022-10-28 14:56:57,-181
2022-10-28 14:56:58,-447
2022-10-28 14:56:59,-463
2022-10-28 14:57:00,-410
2022-10-28 14:57:01,-484
2022-10-28 14:57:02,-718
2022-10-28 14:57:03,-706
2022-10-28 14:57:04,154
2022-10-28 14:57:05,383
2022-10-28 14:57:06,435
2022-10-28 14:57:07,414
2022-10-28 14:57:08,446
2022-10-28 14:57:09,154
2022-10-28 14:57:10,-64
2022-10-28 14:57:11,-118
2022-10-28 14:57:12,-202
2022-10-28 14:57:13,-68
2022-10-28 14:57:14,-169
2022-10-28 14:57:15,-308
2022-10-28 14:57:17,-153
2022-10-28 14:57:18,16
2022-10-28 14:57:19,-84
2022-10-28 14:57:20,-250
2022-10-28 14:57:21,-294
2022-10-28 14:57:22,-556
2022-10-28 14:57:23,-186
2022-10-28 14:57:24,-700
2022-10-28 14:57:26,-342
2022-10-28 14:57:26,-396
2022-10-28 14:57:28,-248
2022-10-28 14:57:29,-685
2022-10-28 14:57:30,-456
2022-10-28 14:57:31,-596
2022-10-28 14:57:32,-616
2022-10-28 14:57:33,-569
2022-10-28 14:57:34,-596
2022-10-28 14:57:35,-475
2022-10-28 14:57:36,-386
2022-10-28 14:57:37,-11
2022-10-28 14:57:38,5
2022-10-28 14:57:39,-343
2022-10-28 14:57:40,-232
2022-10-28 14:57:42,-317
2022-10-28 14:57:43,-36
2022-10-28 14:57:44,130
2022-10-28 14:57:44,109
2022-10-28 14:57:45,77
2022-10-28 14:57:46,39
2022-10-28 14:57:47,-365
2022-10-28 14:57:48,12
2022-10-28 14:57:49,51
2022-10-28 14:57:50,38
2022-10-28 14:57:51,-92
2022-10-28 14:57:52,-176
2022-10-28 14:57:54,217
2022-10-28 14:57:54,-189
2022-10-28 14:57:55,-220
2022-10-28 14:57:57,-71
2022-10-28 14:57:58,112
2022-10-28 14:57:59,79
2022-10-28 14:58:01,151
2022-10-28 14:58:02,318
2022-10-28 14:58:03,2
2022-10-28 14:58:05,-111
2022-10-28 14:58:05,255
2022-10-28 14:58:06,255
2022-10-28 14:58:08,18
2022-10-28 14:58:09,-295
2022-10-28 14:58:10,5
2022-10-28 14:58:11,-254
2022-10-28 14:58:13,-416
2022-10-28 14:58:15,-523
2022-10-28 14:58:16,5
2022-10-28 14:58:16,162
2022-10-28 14:58:18,-90
2022-10-28 14:58:19,-343
2022-10-28 14:58:20,-391
2022-10-28 14:58:21,-436
2022-10-28 14:58:22,-592
2022-10-28 14:58:23,-577
2022-10-28 14:58:25,-556
2022-10-28 14:58:26,-521
2022-10-28 14:58:27,-499
2022-10-28 14:58:28,-579
2022-10-28 14:58:29,-576
2022-10-28 14:58:30,-435
2022-10-28 14:58:31,-535
2022-10-28 14:58:32,-361
2022-10-28 14:58:33,-328
2022-10-28 14:58:34,-454
2022-10-28 14:58:35,-467
2022-10-28 14:58:36,-554
2022-10-28 14:58:37,-588
2022-10-28 14:58:38,-494
2022-10-28 14:58:39,-444
2022-10-28 14:58:40,-472
2022-10-28 14:58:42,-440
2022-10-28 14:58:43,-441
2022-10-28 14:58:45,-495
2022-10-28 14:58:45,-535
2022-10-28 14:58:46,-568
2022-10-28 14:58:48,-496
2022-10-28 14:58:49,-236
2022-10-28 14:58:50,-584
2022-10-28 14:58:51,-226
2022-10-28 14:58:52,224
2022-10-28 14:58:53,331
2022-10-28 14:58:55,-323
2022-10-28 14:58:57,-277
2022-10-28 14:58:58,-251
2022-10-28 14:58:59,-347
2022-10-28 14:59:00,-359
2022-10-28 14:59:02,-630
2022-10-28 14:59:03,-510
2022-10-28 14:59:04,-632
2022-10-28 14:59:05,-617
2022-10-28 14:59:06,-124
2022-10-28 14:59:06,153
2022-10-28 14:59:07,-323
2022-10-28 14:59:08,74
2022-10-28 14:59:09,-65
2022-10-28 14:59:10,-333
2022-10-28 14:59:11,307
2022-10-28 14:59:12,94
2022-10-28 14:59:13,110
2022-10-28 14:59:14,450
2022-10-28 14:59:15,363
2022-10-28 14:59:16,210
2022-10-28 14:59:17,-62
2022-10-28 14:59:19,251
2022-10-28 14:59:20,340
2022-10-28 14:59:21,246
2022-10-28 14:59:22,378
2022-10-28 14:59:22,86
2022-10-28 14:59:24,170
2022-10-28 14:59:26,151
2022-10-28 14:59:27,156
2022-10-28 14:59:29,6
2022-10-28 14:59:29,392
2022-10-28 14:59:30,209
2022-10-28 14:59:32,332
2022-10-28 14:59:33,124
2022-10-28 14:59:34,139
2022-10-28 14:59:35,270
2022-10-28 14:59:36,-205
2022-10-28 14:59:37,-269
2022-10-28 14:59:38,-307
2022-10-28 14:59:39,115
2022-10-28 14:59:41,-325
2022-10-28 14:59:43,222
2022-10-28 14:59:44,297
2022-10-28 14:59:45,-325
2022-10-28 14:59:46,-129
2022-10-28 14:59:47,-201
2022-10-28 14:59:48,-128
2022-10-28 14:59:49,106
2022-10-28 14:59:50,190
2022-10-28 14:59:51,245
2022-10-28 14:59:52,44
2022-10-28 14:59:53,185
2022-10-28 14:59:54,213
2022-10-28 14:59:55,16
2022-10-28 14:59:56,-190
2022-10-28 14:59:57,-233
2022-10-28 14:59:58,391
2022-10-28 14:59:59,476
2022-10-28 15:00:00,-456
2022-10-28 15:00:01,535
2022-10-28 15:00:03,533
2022-10-28 15:00:04,471
2022-10-28 15:00:05,364
2022-10-28 15:00:07,208
2022-10-28 15:00:08,-59
2022-10-28 15:00:09,-121
2022-10-28 15:00:10,425
2022-10-28 15:00:11,153
2022-10-28 15:00:12,111
2022-10-28 15:00:13,132
2022-10-28 15:00:15,-99
2022-10-28 15:00:17,-61
2022-10-28 15:00:18,465
2022-10-28 15:00:18,339
2022-10-28 15:00:19,524
2022-10-28 15:00:20,391
2022-10-28 15:00:21,83
2022-10-28 15:00:23,188
2022-10-28 15:00:24,-29
2022-10-28 15:00:25,344
2022-10-28 15:00:26,334
2022-10-28 15:00:27,270
2022-10-28 15:00:29,273
2022-10-28 15:00:30,-114
2022-10-28 15:00:31,429
2022-10-28 15:00:32,457
2022-10-28 15:00:33,513
2022-10-28 15:00:34,178
2022-10-28 15:00:35,375
2022-10-28 15:00:36,174
2022-10-28 15:00:37,114
2022-10-28 15:00:38,30
2022-10-28 15:00:40,69
2022-10-28 15:00:41,206
2022-10-28 15:00:43,416
2022-10-28 15:00:44,428
2022-10-28 15:00:46,484
2022-10-28 15:00:47,514
2022-10-28 15:00:48,470
2022-10-28 15:00:49,563
2022-10-28 15:00:50,613
2022-10-28 15:00:52,589
2022-10-28 15:00:52,361
2022-10-28 15:00:54,-401
2022-10-28 15:00:55,-396
2022-10-28 15:00:56,-370
2022-10-28 15:00:58,-365
2022-10-28 15:00:59,-367
2022-10-28 15:01:00,-385
2022-10-28 15:01:00,233
2022-10-28 15:01:02,183
2022-10-28 15:01:03,21
2022-10-28 15:01:04,210
2022-10-28 15:01:05,-282
2022-10-28 15:01:06,-431
2022-10-28 15:01:07,-409
2022-10-28 15:01:09,-429
2022-10-28 15:01:10,-407
2022-10-28 15:01:12,-451
2022-10-28 15:01:13,-429
2022-10-28 15:01:14,-453
2022-10-28 15:01:15,-91
2022-10-28 15:01:16,524
