datetime,activity
2022/9/8 18:37,riding
2022/9/8 18:53,walking
2022/9/8 19:01,sitting
2022/9/8 19:21,eating
2022/9/8 22:55,lying
2022/9/9 13:49,using_computer
2022/9/9 14:47,walking
2022/9/9 14:48,lying
2022/9/9 14:58,bathroom
2022/9/9 15:06,walking
2022/9/9 15:07,lying
2022/9/9 15:46,walking
2022/9/9 16:57,using_computer
2022/9/9 17:16,lying
2022/9/9 18:54,sitting
2022/9/9 19:12,bathroom
2022/9/9 19:13,walking
2022/9/9 19:20,other
2022/9/9 19:29,walking
2022/9/9 19:36,sitting
2022/9/9 19:54,walking
2022/9/9 19:56,sitting
2022/9/9 20:50,walking
2022/9/9 20:54,other
2022/9/9 21:00,walking
2022/9/9 21:03,sitting
2022/9/9 21:10,lying
2022/9/9 22:58,using_computer
2022/9/9 23:08,lying
2022/9/10 08:23,walking
2022/9/10 08:52,sitting
2022/9/10 08:53,eating
2022/9/10 09:27,sitting
2022/9/10 09:35,lying
2022/9/10 09:54,bathroom
2022/9/10 10:04,lying
2022/9/10 12:53,bathroom
2022/9/10 12:58,other
2022/9/10 13:01,sitting
2022/9/10 13:15,walking
2022/9/10 13:19,other
2022/9/10 13:37,walking
2022/9/10 14:11,other
2022/9/10 14:31,walking
2022/9/10 14:34,sitting
2022/9/10 14:35,eating
2022/9/10 14:54,sitting
2022/9/10 15:04,lying
2022/9/10 17:10,sleeping
2022/9/10 18:22,lying
2022/9/10 19:00,bathroom
2022/9/10 19:09,walking
2022/9/10 19:12,sitting
2022/9/10 19:25,eating
2022/9/10 20:53,other
2022/9/10 21:35,bathroom
2022/9/10 21:45,lying
2022/9/12 08:58,walking
2022/9/12 09:03,other
2022/9/12 09:53,walking
2022/9/12 10:24,other
2022/9/12 10:45,walking
2022/9/12 10:53,sitting
2022/9/12 11:21,other
2022/9/12 11:39,lying
2022/9/12 12:39,eating
2022/9/12 12:52,sitting
2022/9/12 13:08,walking
2022/9/12 13:09,using_computer
2022/9/12 15:28,bathroom
2022/9/12 15:29,lying
2022/9/12 16:46,walking
2022/9/12 16:48,sitting
2022/9/12 17:08,walking
2022/9/12 17:28,sitting
2022/9/12 18:06,sitting
2022/9/12 18:07,eating
2022/9/12 18:24,sitting
2022/9/12 18:38,bathroom
2022/9/12 19:13,using_computer
2022/9/12 20:29,other
2022/9/12 22:11,sitting
2022/9/12 22:32,lying
2022/9/12 23:15,brush_teeth
2022/9/12 23:17,walking
2022/9/12 23:18,standing
2022/9/12 23:19,lying
2022/9/13 15:39,using_computer
2022/9/13 17:28,lying
2022/9/13 17:40,sleeping
2022/9/13 18:53,lying
2022/9/13 19:15,bathroom
2022/9/13 19:18,sitting
2022/9/13 19:29,walking
2022/9/13 19:32,driving
2022/9/13 20:03,walking
2022/9/13 20:05,sitting
2022/9/13 20:07,eating
2022/9/13 20:27,sitting
2022/9/13 20:43,sitting
