datetime,value
2022-12-08 14:18:44,-369
2022-12-08 14:18:45,-329
2022-12-08 14:18:47,-268
2022-12-08 14:18:49,-37
2022-12-08 14:18:50,303
2022-12-08 14:18:51,529
2022-12-08 14:18:53,611
2022-12-08 14:18:54,561
2022-12-08 14:18:55,626
2022-12-08 14:18:56,584
2022-12-08 14:18:57,368
2022-12-08 14:18:58,337
2022-12-08 14:19:00,399
2022-12-08 14:19:02,414
2022-12-08 14:19:03,287
2022-12-08 14:19:04,524
2022-12-08 14:19:06,-56
2022-12-08 14:19:07,248
2022-12-08 14:19:08,-111
2022-12-08 14:19:09,-375
2022-12-08 14:19:10,-132
2022-12-08 14:19:12,-176
2022-12-08 14:19:13,358
2022-12-08 14:19:15,395
2022-12-08 14:19:16,409
2022-12-08 14:19:17,528
2022-12-08 14:19:19,610
2022-12-08 14:19:21,310
2022-12-08 14:19:22,129
2022-12-08 14:19:24,208
2022-12-08 14:19:26,613
2022-12-08 14:19:27,400
2022-12-08 14:19:29,536
2022-12-08 14:19:30,-11
2022-12-08 14:19:31,-25
2022-12-08 14:19:32,-253
2022-12-08 14:19:34,-387
2022-12-08 14:19:35,-426
2022-12-08 14:19:36,170
2022-12-08 14:19:38,456
2022-12-08 14:19:39,661
2022-12-08 14:19:40,81
2022-12-08 14:19:42,667
2022-12-08 14:19:43,366
2022-12-08 14:19:44,643
2022-12-08 14:19:45,410
2022-12-08 14:19:46,403
2022-12-08 14:19:49,522
2022-12-08 14:19:50,506
2022-12-08 14:19:52,600
2022-12-08 14:19:54,380
2022-12-08 14:19:56,450
2022-12-08 14:19:56,182
2022-12-08 14:19:58,572
2022-12-08 14:19:59,561
2022-12-08 14:20:00,185
2022-12-08 14:20:01,-329
2022-12-08 14:20:02,175
2022-12-08 14:20:04,249
2022-12-08 14:20:06,87
2022-12-08 14:20:07,12
2022-12-08 14:20:08,157
2022-12-08 14:20:10,-90
2022-12-08 14:20:11,314
2022-12-08 14:20:12,363
2022-12-08 14:20:13,-385
2022-12-08 14:20:15,-387
2022-12-08 14:20:16,-462
2022-12-08 14:20:17,-473
2022-12-08 14:20:19,-414
2022-12-08 14:20:20,93
2022-12-08 14:20:21,459
2022-12-08 14:20:23,393
2022-12-08 14:20:24,555
2022-12-08 14:20:25,410
2022-12-08 14:20:26,183
2022-12-08 14:20:28,479
2022-12-08 14:20:29,66
2022-12-08 14:20:30,147
2022-12-08 14:20:31,303
2022-12-08 14:20:32,329
2022-12-08 14:20:33,605
2022-12-08 14:20:35,506
2022-12-08 14:20:36,209
2022-12-08 14:20:37,-15
2022-12-08 14:20:38,565
2022-12-08 14:20:39,242
2022-12-08 14:20:41,425
2022-12-08 14:20:42,461
2022-12-08 14:20:44,385
2022-12-08 14:20:45,393
2022-12-08 14:20:46,465
2022-12-08 14:20:48,697
2022-12-08 14:20:49,593
2022-12-08 14:20:50,621
2022-12-08 14:20:51,719
2022-12-08 14:20:52,525
2022-12-08 14:20:54,502
2022-12-08 14:20:55,527
2022-12-08 14:20:56,505
2022-12-08 14:20:58,140
2022-12-08 14:20:59,626
2022-12-08 14:21:00,-450
2022-12-08 14:21:01,-259
2022-12-08 14:21:02,655
2022-12-08 14:21:03,-67
2022-12-08 14:21:05,665
2022-12-08 14:21:06,207
2022-12-08 14:21:07,106
2022-12-08 14:21:08,-302
2022-12-08 14:21:10,481
2022-12-08 14:21:11,200
2022-12-08 14:21:12,-76
2022-12-08 14:21:13,426
2022-12-08 14:21:15,530
2022-12-08 14:21:16,399
2022-12-08 14:21:17,659
2022-12-08 14:21:18,401
2022-12-08 14:21:19,352
2022-12-08 14:21:21,328
2022-12-08 14:21:22,274
2022-12-08 14:21:23,342
2022-12-08 14:21:24,686
2022-12-08 14:21:26,652
2022-12-08 14:21:27,640
2022-12-08 14:21:30,613
2022-12-08 14:21:31,634
2022-12-08 14:21:33,67
2022-12-08 14:21:34,320
2022-12-08 14:21:35,489
2022-12-08 14:21:37,380
2022-12-08 14:21:37,-545
2022-12-08 14:21:39,-533
2022-12-08 14:21:40,4
2022-12-08 14:21:43,111
2022-12-08 14:21:44,246
2022-12-08 14:21:45,61
2022-12-08 14:21:47,459
2022-12-08 14:21:48,-211
2022-12-08 14:21:49,-322
2022-12-08 14:21:50,35
2022-12-08 14:21:52,-243
2022-12-08 14:21:53,-478
2022-12-08 14:21:54,-181
2022-12-08 14:21:56,-123
2022-12-08 14:21:57,-981
2022-12-08 14:21:59,537
2022-12-08 14:22:00,288
2022-12-08 14:22:01,109
2022-12-08 14:22:02,618
2022-12-08 14:22:03,687
2022-12-08 14:22:06,125
2022-12-08 14:22:07,118
2022-12-08 14:22:08,2
2022-12-08 14:22:09,150
2022-12-08 14:22:10,-34
2022-12-08 14:22:12,225
2022-12-08 14:22:13,75
2022-12-08 14:22:15,-69
2022-12-08 14:22:16,8
2022-12-08 14:22:17,-82
2022-12-08 14:22:18,-135
2022-12-08 14:22:20,289
2022-12-08 14:22:22,214
2022-12-08 14:22:24,183
2022-12-08 14:22:25,252
2022-12-08 14:22:27,-268
2022-12-08 14:22:28,357
2022-12-08 14:22:30,618
2022-12-08 14:22:31,213
2022-12-08 14:22:32,-42
2022-12-08 14:22:33,214
2022-12-08 14:22:34,-27
2022-12-08 14:22:35,-485
2022-12-08 14:22:37,-327
2022-12-08 14:22:38,665
2022-12-08 14:22:40,511
2022-12-08 14:22:41,536
2022-12-08 14:22:43,506
2022-12-08 14:22:44,-384
2022-12-08 14:22:45,592
2022-12-08 14:22:46,-110
2022-12-08 14:22:47,57
2022-12-08 14:22:50,14
2022-12-08 14:22:51,-249
2022-12-08 14:22:52,47
2022-12-08 14:22:54,-273
2022-12-08 14:22:55,275
2022-12-08 14:22:57,293
2022-12-08 14:22:58,-374
2022-12-08 14:22:59,322
2022-12-08 14:23:00,420
2022-12-08 14:23:01,246
2022-12-08 14:23:04,-395
2022-12-08 14:23:05,-156
2022-12-08 14:23:07,-390
2022-12-08 14:23:09,-297
2022-12-08 14:23:11,-584
2022-12-08 14:23:12,-556
2022-12-08 14:23:14,-539
2022-12-08 14:23:15,-169
2022-12-08 14:23:16,-202
2022-12-08 14:23:18,-504
2022-12-08 14:23:19,-441
2022-12-08 14:23:22,-230
2022-12-08 14:23:24,-112
2022-12-08 14:23:25,138
2022-12-08 14:23:26,-28
2022-12-08 14:23:27,-426
2022-12-08 14:23:29,-221
2022-12-08 14:23:30,72
2022-12-08 14:23:32,-268
2022-12-08 14:23:33,-426
2022-12-08 14:23:35,-393
2022-12-08 14:23:37,-250
2022-12-08 14:23:38,-269
2022-12-08 14:23:39,-332
2022-12-08 14:23:40,28
2022-12-08 14:23:42,-334
2022-12-08 14:23:44,17
2022-12-08 14:23:45,1
2022-12-08 14:23:47,433
2022-12-08 14:23:49,-166
2022-12-08 14:23:50,-38
2022-12-08 14:23:51,-171
2022-12-08 14:23:53,-74
2022-12-08 14:23:55,64
2022-12-08 14:23:56,-458
2022-12-08 14:23:57,-341
2022-12-08 14:23:59,-324
2022-12-08 14:24:00,-422
2022-12-08 14:24:01,-436
2022-12-08 14:24:02,-485
2022-12-08 14:24:04,-398
2022-12-08 14:24:05,-434
2022-12-08 14:24:07,-364
2022-12-08 14:24:07,-325
2022-12-08 14:24:09,123
2022-12-08 14:24:10,-92
2022-12-08 14:24:12,273
2022-12-08 14:24:13,411
2022-12-08 14:24:14,275
2022-12-08 14:24:15,210
2022-12-08 14:24:18,314
2022-12-08 14:24:31,359
2022-12-08 14:24:32,692
2022-12-08 14:24:34,475
2022-12-08 14:24:36,66
2022-12-08 14:24:37,28
2022-12-08 14:24:40,131
2022-12-08 14:24:42,-10
