datetime,value
2022-09-30 16:30:03,299
2022-09-30 16:30:04,318
2022-09-30 16:30:05,331
2022-09-30 16:30:07,328
2022-09-30 16:30:08,339
2022-09-30 16:30:09,348
2022-09-30 16:30:10,335
2022-09-30 16:30:12,355
2022-09-30 16:30:13,118
2022-09-30 16:30:14,-139
2022-09-30 16:30:15,-355
2022-09-30 16:30:17,-242
2022-09-30 16:30:18,-91
2022-09-30 16:30:20,-7
2022-09-30 16:30:21,214
2022-09-30 16:30:23,-158
2022-09-30 16:30:25,-187
2022-09-30 16:30:26,-173
2022-09-30 16:30:27,-188
2022-09-30 16:30:28,-242
2022-09-30 16:30:30,-204
2022-09-30 16:30:31,-186
2022-09-30 16:30:32,-163
2022-09-30 16:30:33,-130
2022-09-30 16:30:35,161
2022-09-30 16:30:36,354
2022-09-30 16:30:37,259
2022-09-30 16:30:39,243
2022-09-30 16:30:40,-780
2022-09-30 16:30:42,-117
2022-09-30 16:30:42,-743
2022-09-30 16:30:44,-185
2022-09-30 16:30:45,170
2022-09-30 16:30:46,-707
2022-09-30 16:30:47,-767
2022-09-30 16:30:48,-612
2022-09-30 16:30:50,-677
2022-09-30 16:30:51,-751
2022-09-30 16:30:52,-107
2022-09-30 16:30:54,232
2022-09-30 16:30:55,-512
2022-09-30 16:30:57,-912
2022-09-30 16:30:58,235
2022-09-30 16:30:59,-776
2022-09-30 16:31:00,-753
2022-09-30 16:31:01,-280
2022-09-30 16:31:03,-321
2022-09-30 16:31:04,-191
2022-09-30 16:31:05,-644
2022-09-30 16:31:07,-610
2022-09-30 16:31:08,-749
2022-09-30 16:31:09,-492
2022-09-30 16:31:11,-642
2022-09-30 16:31:12,156
2022-09-30 16:31:13,235
2022-09-30 16:31:15,-300
2022-09-30 16:31:16,-218
2022-09-30 16:31:17,210
2022-09-30 16:31:19,-564
2022-09-30 16:31:20,-585
2022-09-30 16:31:21,250
2022-09-30 16:31:22,33
2022-09-30 16:31:23,158
2022-09-30 16:31:24,161
2022-09-30 16:31:26,-733
2022-09-30 16:31:27,-682
2022-09-30 16:31:28,56
2022-09-30 16:31:30,-31
2022-09-30 16:31:31,95
2022-09-30 16:31:32,-421
2022-09-30 16:31:33,-798
2022-09-30 16:31:35,339
2022-09-30 16:31:36,-828
2022-09-30 16:31:37,-892
2022-09-30 16:31:39,-846
2022-09-30 16:31:40,272
2022-09-30 16:31:41,329
2022-09-30 16:31:43,114
2022-09-30 16:31:44,244
2022-09-30 16:31:45,260
2022-09-30 16:31:46,295
2022-09-30 16:31:47,293
2022-09-30 16:31:49,274
